CBSA_NAME,SITE_ID,SITE_NAME,SITE_LATITUDE,SITE_LONGITUDE,DATE,PM2.5,AQI_VALUE
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/17/2023,31.5,92
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/17/2023,40.6,114
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/18/2023,36.3,103
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/19/2023,25.7,80
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/20/2023,12.4,52
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/20/2023,13.4,54
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/21/2023,17.5,62
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/22/2023,5.2,22
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/23/2023,3.9,16
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/23/2023,4.6,19
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/24/2023,5.6,23
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/25/2023,15.3,58
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/26/2023,7,29
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/26/2023,7.7,32
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/27/2023,70.4,159
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/28/2023,134.9,192
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/29/2023,83.2,165
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/29/2023,100.5,174
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,6/30/2023,11.5,48
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/1/2023,8.7,36
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/2/2023,6.1,25
"Columbus, OH",390490038,Smoky Row Near Road,40.11107,-83.065415,7/2/2023,5.8,24
